,feature_0,feature_1,feature_2,feature_3,val_dice_DSC_mean,test_dice_DSC_mean,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*4.5_70.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8716448148091634,0.8349352876345316,self-paced,method_soft,loss_params*4.5_70.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_80.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8019989331563314,0.7381340265274048,self-paced,method_soft,loss_params*1.0_80.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_80.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3454820811748505,0.5310089190800985,self-paced,method_soft,loss_params*1.0_80.0,type_inversesquare,tra,ratio_0.09
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_80.0/type_inversesquare/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.40375035007794696,0.5448830922444662,self-paced,method_soft,loss_params*1.0_80.0,type_inversesquare,tra,ratio_0.17
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_80.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8704355955123901,0.8405031363169352,self-paced,method_soft,loss_params*1.0_80.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_70.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8094104727109274,0.7280699213345846,self-paced,method_soft,loss_params*3.0_70.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_70.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3329937358697255,0.3880535264809926,self-paced,method_soft,loss_params*3.0_70.0,type_inversesquare,tra,ratio_0.09
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_70.0/type_inversesquare/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.4498104850451152,0.5235250890254974,self-paced,method_soft,loss_params*3.0_70.0,type_inversesquare,tra,ratio_0.17
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_70.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8586081266403198,0.8366626302401224,self-paced,method_soft,loss_params*3.0_70.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_60.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8255673050880432,0.7443322141965231,self-paced,method_soft,loss_params*1.0_60.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_60.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3383294890324275,0.4144252985715866,self-paced,method_soft,loss_params*1.0_60.0,type_inversesquare,tra,ratio_0.09
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_60.0/type_inversesquare/tra/ratio_0.17/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3745518227418264,0.6009858250617981,self-paced,method_soft,loss_params*1.0_60.0,type_inversesquare,tra,ratio_0.17
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*1.0_60.0/type_inversesquare/tra/ratio_1.0/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.8676017522811891,0.8450689713160197,self-paced,method_soft,loss_params*1.0_60.0,type_inversesquare,tra,ratio_1.0
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_50.0/type_inversesquare/tra/ratio_0.34/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.7768658002217611,0.7153481841087341,self-paced,method_soft,loss_params*3.0_50.0,type_inversesquare,tra,ratio_0.34
githash_04cc43d/mmwhs/random_seed_30/sample_num_10/global_Conv5_1.0/contrast_on_partition/self-paced/method_soft/loss_params*3.0_50.0/type_inversesquare/tra/ratio_0.09/storage.csv,random_seed_30,sample_num_10,global_Conv5_1.0,contrast_on_partition,0.3627937336762746,0.4608316818873088,self-paced,method_soft,loss_params*3.0_50.0,type_inversesquare,tra,ratio_0.09
